,p_in,t_in,p_out,m_dot,V1,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type,r1,r2,U2,psi,I,mu
57,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,2494.73684211,81642.6567539,9.81,0.220691948599,12.3231561715,1.68072397605,0.606863319434,Radial,0.420180994014,0.840361988027,219.543082934,0.0341774395268,1.69386038755,1.02794173745
58,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,3189.47368421,81642.6567539,9.81,0.282150465931,9.61401361449,1.31123090247,0.667933188122,Radial,0.327807725617,0.655615451233,218.976152845,0.0562985098328,1.70264256331,1.13725147555
59,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,3884.21052632,81642.6567539,9.81,0.343608983262,7.44393219799,1.01525900891,0.724127700682,Radial,0.253814752227,0.507629504454,206.480115788,0.0995910093841,1.91496419694,1.38667862082
60,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,4578.94736842,81642.6567539,9.81,0.405067500594,6.26045839964,0.853848022936,0.76722438221,Radial,0.213462005734,0.426924011468,204.712730547,0.142018874814,1.94817258005,1.49468550416
61,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,5273.68421053,81642.6567539,9.81,0.466526017925,5.49727770032,0.749759745423,0.801235016463,Radial,0.187439936356,0.374879872711,207.030753298,0.182126428729,1.90479132316,1.52618550717
62,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,5968.42105263,81642.6567539,9.81,0.527984535257,4.94513669347,0.674454635639,0.819896096467,Radial,0.16861365891,0.33722731782,210.770982467,0.221073030707,1.83778832797,1.50679547624
63,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,6663.15789474,81642.6567539,9.81,0.589443052588,4.39299568662,0.599149525856,0.838557176472,Radial,0.149787381464,0.299574762928,209.032563686,0.282466979554,1.86848336086,1.56683013137
64,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,7357.89473684,81642.6567539,9.81,0.65090156992,3.99871725863,0.545374892318,0.85,Mixed,0.136343723079,0.272687446159,210.110295238,0.339167679009,1.84936426998,1.57195962948
65,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,8052.63157895,81642.6567539,9.81,0.712360087251,3.85469228696,0.525731692177,0.85,Mixed,0.131432923044,0.262865846089,221.666778729,0.345957816086,1.66155954062,1.41232560953
66,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,8747.36842105,81642.6567539,9.81,0.773818604582,3.71066731529,0.506088492037,0.85,Mixed,0.126522123009,0.253044246018,231.794166924,0.357023370947,1.51953995224,1.2916089594
67,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,9442.10526316,81642.6567539,9.81,0.835277121914,3.56664234362,0.486445291897,0.85,Mixed,0.121611322974,0.243222645948,240.492459823,0.37246253924,1.41160828887,1.19986704554
68,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,10136.8421053,81642.6567539,9.81,0.896735639245,3.42261737195,0.466802091756,0.85,Mixed,0.116700522939,0.233401045878,247.761657425,0.392601892201,1.32999170868,1.13049295238
69,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,10831.5789474,81642.6567539,9.81,0.958194156577,3.27859240028,0.447158891616,0.85,Mixed,0.111789722904,0.223579445808,253.601759731,0.417999794455,1.26944124059,1.0790250545
70,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,11526.3157895,81642.6567539,9.81,1.01965267391,3.13456742861,0.427515691476,0.85,Mixed,0.106878922869,0.213757845738,258.01276674,0.449476259284,1.22640732868,1.04244622938
71,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,12221.0526316,81642.6567539,9.81,1.08111119124,3.02400198576,0.412435951502,0.85,Mixed,0.103108987875,0.206217975751,263.914803846,0.472144886813,1.1721673628,0.996342258382
72,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,12915.7894737,81642.6567539,9.81,1.14256970857,2.9978955178,0.408875356634,0.85,Mixed,0.102218839158,0.204437678317,276.509792107,0.458521479847,1.067815197,0.907642917448
73,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,13610.5263158,81642.6567539,9.81,1.2040282259,2.97178904984,0.405314761765,0.85,Mixed,0.101328690441,0.202657380883,288.845737578,0.446684895608,0.978554914627,0.831771677433
74,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,14305.2631579,81642.6567539,9.81,1.26548674323,2.94568258189,0.401754166897,0.85,Mixed,0.100438541724,0.200877083449,300.922640258,0.4363916475,0.901586502916,0.766348527479
75,1.01325,20.0,31.1,13.82,16.6472290221,6.0,1.76945951072,15000.0,81642.6567539,9.81,1.32694526057,2.91957611393,0.398193572029,0.85,Mixed,0.0995483930072,0.199096786014,312.740500148,0.427444227625,0.834735485108,0.709525162342
76,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,1800.0,69979.4200747,9.81,0.178749298419,15.8132959136,2.24147313733,0.538740865449,Radial,0.560368284333,1.12073656867,211.253866244,0.0199701041613,1.56805397355,0.84477475478
77,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,2494.73684211,69979.4200747,9.81,0.247740255703,11.1308442992,1.57775384896,0.633740579654,Radial,0.394438462239,0.788876924478,206.092701149,0.0413153051712,1.64757470789,1.0441349504
78,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,3189.47368421,69979.4200747,9.81,0.316731212987,8.13232595094,1.15272554581,0.70190942719,Radial,0.288181386452,0.576362772904,192.505686704,0.0828622409193,1.88835313042,1.3254528641
79,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,3884.21052632,69979.4200747,9.81,0.385722170272,6.50539314407,0.922114153802,0.756176413416,Radial,0.230528538451,0.461057076901,187.536614377,0.132921925927,1.98974854772,1.50460092041
80,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,4578.94736842,69979.4200747,9.81,0.454713127556,5.63188609046,0.798297929365,0.795576616487,Radial,0.199574482341,0.399148964683,191.3944221,0.173777198104,1.91034491009,1.5198257399
81,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,5273.68421053,69979.4200747,9.81,0.523704084841,4.98359209892,0.70640477976,0.818596393332,Radial,0.17660119494,0.35320238988,195.05917006,0.217760167845,1.83923657639,1.50559242791
82,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,5968.42105263,69979.4200747,9.81,0.592695042125,4.363779935,0.618548818346,0.839544600828,Radial,0.154637204587,0.309274409173,193.300090558,0.28659727207,1.87286392402,1.5723527955
83,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,6663.15789474,69979.4200747,9.81,0.66168599941,3.97344448572,0.56322028792,0.85,Mixed,0.14080507198,0.28161014396,196.49749457,0.340046629972,1.81240939399,1.54054798489
84,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,7357.89473684,69979.4200747,9.81,0.730676956694,3.81176761651,0.540303221089,0.85,Mixed,0.135075805272,0.270151610545,208.156390952,0.348808621011,1.61506810385,1.37280788827
85,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,8052.63157895,69979.4200747,9.81,0.799667913978,3.6500907473,0.517386154259,0.85,Mixed,0.129346538565,0.258693077129,218.148009489,0.362970402939,1.47050948449,1.24993306182
86,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,8747.36842105,69979.4200747,9.81,0.868658871263,3.48841387809,0.494469087428,0.85,Mixed,0.123617271857,0.247234543714,226.472350179,0.382788246022,1.36439451635,1.15973533889
87,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,9442.10526316,69979.4200747,9.81,0.937649828547,3.32673700888,0.471552020598,0.85,Mixed,0.117888005149,0.235776010299,233.129413024,0.408879919518,1.28758586,1.094447981
88,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,10136.8421053,69979.4200747,9.81,1.00664078583,3.16506013968,0.448634953768,0.85,Mixed,0.112158738442,0.224317476884,238.119198023,0.442253672162,1.23418856065,1.04906027655
89,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,10831.5789474,69979.4200747,9.81,1.07563174312,3.02632955634,0.428970433634,0.85,Mixed,0.107242608408,0.214485216817,243.286354989,0.473455974763,1.18231945455,1.00497153637
90,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,11526.3157895,69979.4200747,9.81,1.1446227004,2.99702344396,0.424816406287,0.85,Mixed,0.106204101572,0.212408203144,256.383703636,0.458098737187,1.06460746052,0.904916341442
91,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,12221.0526316,69979.4200747,9.81,1.21361365768,2.96771733158,0.420662378941,0.85,Mixed,0.105165594735,0.210331189471,269.178835694,0.444983405695,0.965802929843,0.820932490367
92,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,12915.7894737,69979.4200747,9.81,1.28260461497,2.9384112192,0.416508351595,0.85,Mixed,0.104127087899,0.208254175797,281.671751163,0.433771836362,0.882030801622,0.749726181379
93,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,13610.5263158,69979.4200747,9.81,1.35159557225,2.90910510682,0.412354324249,0.85,Mixed,0.103088581062,0.206177162124,293.862450043,0.424196295294,0.81036774931,0.688812586914
94,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,14305.2631579,69979.4200747,9.81,1.42058652954,2.87979899444,0.408200296902,0.85,Mixed,0.102050074226,0.204100148451,305.750932334,0.416042455004,0.748574034951,0.636287929708
95,1.01325,20.0,31.1,13.82,16.6472290221,7.0,1.63092813674,15000.0,69979.4200747,9.81,1.48957748682,2.85049288206,0.404046269556,0.85,Mixed,0.101011567389,0.202023134778,317.337198037,0.40913712342,0.694909699524,0.590673244596
