,p_in,t_out,p_out,m_dot,V3,Nstg,PR_stg,RPM,H_ad,g,Ns,Ds,D,eff,type
77,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,5273.68421053,84258.0586844,9.81,0.455622464841,4.23708228969,0.57334728695,0.880988849579,Radial
78,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,5968.42105263,84258.0586844,9.81,0.515644585958,3.48022838073,0.47093243974,0.9,Radial
79,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,6663.15789474,84258.0586844,9.81,0.575666707075,3.27736464367,0.443481622099,0.9,Radial
80,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,7357.89473684,84258.0586844,9.81,0.635688828192,3.07450090661,0.416030804458,0.9,Radial
81,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,8052.63157895,84258.0586844,9.81,0.695710949308,2.91506653134,0.3944566975,0.878577609682,Radial
82,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,8747.36842105,84258.0586844,9.81,0.755733070425,2.77544514357,0.375563615325,0.847382072028,Radial
83,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,9442.10526316,84258.0586844,9.81,0.815755191542,2.63582375579,0.35667053315,0.816186534375,Radial
84,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,10136.8421053,84258.0586844,9.81,0.875777312659,2.50659256002,0.339183415738,0.783802081783,Radial
85,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,10831.5789474,84258.0586844,9.81,0.935799433776,2.3885667186,0.323212568031,0.750135437953,Radial
86,31.1,20.0,1.01325,13.82,16.6472290221,7.0,1.63092813674,11526.3157895,84258.0586844,9.81,0.995821554892,2.27054087718,0.307241720324,0.716468794122,Radial
